Size;Time;BestCost;MeanCost;CostDeviation;CostOptDist;MeanCostOptDist;MeanSteps;MeanNumSolutions
100;5.12111;21662826;21798200;0.00242;610360;745765;252.375;119024
15;0.003403;388214;407448;0.017928;0;19234.4;18.5536;505.482
20;0.009012;703482;746719;0.015306;0;43237.2;29.2526;1024.79
25;0.022803;1182684;1231260;0.011168;15428;64002.1;39.3146;2101.05
30;0.04462;1849292;1908590;0.009237;31146;90448;51.7781;3436.85
35;0.073192;2481190;2543830;0.008003;59188;121829;63.3683;4848.21
40;0.137369;3224552;3294740;0.007406;85182;155374;75.6579;7970.02
50;0.341015;5104642;5181000;0.006259;165846;242203;102.403;15885.7
60;0.705152;7367666;7528690;0.004982;161704;322732;133.725;27377.6
80;1.98603;13918512;14043700;0.003843;419328;544559;189.574;57760.8
